country_code,country_name,region,topic_group,avg_interest,n_queries
AU,Australia,Australian Capital Territory,bdsm_general,76,1
AU,Australia,Australian Capital Territory,impact_play,74,1
AU,Australia,Australian Capital Territory,spanking,65,1
AU,Australia,Australian Capital Territory,otk,63,1
AU,Australia,Australian Capital Territory,domestic_discipline,NA,1
AU,Australia,New South Wales,impact_play,92,1
AU,Australia,New South Wales,otk,88,1
AU,Australia,New South Wales,bdsm_general,83,1
AU,Australia,New South Wales,spanking,75,1
AU,Australia,New South Wales,domestic_discipline,33,1
AU,Australia,Northern Territory,impact_play,100,1
AU,Australia,Northern Territory,bdsm_general,81,1
AU,Australia,Northern Territory,spanking,61,1
AU,Australia,Northern Territory,domestic_discipline,NA,1
AU,Australia,Northern Territory,otk,NA,1
AU,Australia,Queensland,bdsm_general,100,1
AU,Australia,Queensland,domestic_discipline,100,1
AU,Australia,Queensland,impact_play,79,1
AU,Australia,Queensland,spanking,78,1
AU,Australia,Queensland,otk,77,1
AU,Australia,South Australia,otk,100,1
AU,Australia,South Australia,spanking,100,1
AU,Australia,South Australia,impact_play,85,1
AU,Australia,South Australia,bdsm_general,82,1
AU,Australia,South Australia,domestic_discipline,NA,1
AU,Australia,Tasmania,bdsm_general,97,1
AU,Australia,Tasmania,otk,77,1
AU,Australia,Tasmania,impact_play,58,1
AU,Australia,Tasmania,spanking,56,1
AU,Australia,Tasmania,domestic_discipline,NA,1
AU,Australia,Victoria,otk,97,1
AU,Australia,Victoria,bdsm_general,84,1
AU,Australia,Victoria,impact_play,83,1
AU,Australia,Victoria,spanking,77,1
AU,Australia,Victoria,domestic_discipline,16,1
AU,Australia,Western Australia,bdsm_general,88,1
AU,Australia,Western Australia,otk,77,1
AU,Australia,Western Australia,spanking,77,1
AU,Australia,Western Australia,impact_play,74,1
AU,Australia,Western Australia,domestic_discipline,NA,1
GB,United Kingdom,England,bdsm_general,100,1
GB,United Kingdom,England,impact_play,100,1
GB,United Kingdom,England,otk,69,1
GB,United Kingdom,England,spanking,64.5,3
GB,United Kingdom,England,domestic_discipline,50,1
GB,United Kingdom,England,adult_corporal_punishment,NA,1
GB,United Kingdom,Northern Ireland,otk,85,1
GB,United Kingdom,Northern Ireland,impact_play,80,1
GB,United Kingdom,Northern Ireland,bdsm_general,79,1
GB,United Kingdom,Northern Ireland,spanking,79,3
GB,United Kingdom,Northern Ireland,adult_corporal_punishment,NA,1
GB,United Kingdom,Northern Ireland,domestic_discipline,NA,1
GB,United Kingdom,Scotland,adult_corporal_punishment,100,1
GB,United Kingdom,Scotland,domestic_discipline,100,1
GB,United Kingdom,Scotland,otk,100,1
GB,United Kingdom,Scotland,spanking,99,3
GB,United Kingdom,Scotland,impact_play,90,1
GB,United Kingdom,Scotland,bdsm_general,86,1
GB,United Kingdom,Wales,spanking,100,3
GB,United Kingdom,Wales,impact_play,98,1
GB,United Kingdom,Wales,bdsm_general,97,1
GB,United Kingdom,Wales,otk,83,1
GB,United Kingdom,Wales,adult_corporal_punishment,NA,1
GB,United Kingdom,Wales,domestic_discipline,NA,1
NZ,New Zealand,Auckland,impact_play,87,1
NZ,New Zealand,Auckland,bdsm_general,42,1
NZ,New Zealand,Auckland,otk,20,1
NZ,New Zealand,Auckland,spanking,20,1
NZ,New Zealand,Auckland,adult_corporal_punishment,NA,1
NZ,New Zealand,Bay Of Plenty,bdsm_general,59,1
NZ,New Zealand,Bay Of Plenty,spanking,19,1
NZ,New Zealand,Bay Of Plenty,adult_corporal_punishment,NA,1
NZ,New Zealand,Bay Of Plenty,impact_play,NA,1
NZ,New Zealand,Bay Of Plenty,otk,NA,1
NZ,New Zealand,Canterbury,impact_play,55,1
NZ,New Zealand,Canterbury,bdsm_general,51,1
NZ,New Zealand,Canterbury,spanking,21,1
NZ,New Zealand,Canterbury,otk,19,1
NZ,New Zealand,Canterbury,adult_corporal_punishment,NA,1
NZ,New Zealand,Chatham Islands,adult_corporal_punishment,NA,1
NZ,New Zealand,Chatham Islands,bdsm_general,NA,1
NZ,New Zealand,Chatham Islands,impact_play,NA,1
NZ,New Zealand,Chatham Islands,otk,NA,1
NZ,New Zealand,Chatham Islands,spanking,NA,1
NZ,New Zealand,Gisborne,adult_corporal_punishment,NA,1
NZ,New Zealand,Gisborne,bdsm_general,NA,1
NZ,New Zealand,Gisborne,impact_play,NA,1
NZ,New Zealand,Gisborne,otk,NA,1
NZ,New Zealand,Gisborne,spanking,NA,1
NZ,New Zealand,Hawke's Bay,bdsm_general,37,1
NZ,New Zealand,Hawke's Bay,spanking,12,1
NZ,New Zealand,Hawke's Bay,adult_corporal_punishment,NA,1
NZ,New Zealand,Hawke's Bay,impact_play,NA,1
NZ,New Zealand,Hawke's Bay,otk,NA,1
NZ,New Zealand,Manawatu-Wanganui,impact_play,100,1
NZ,New Zealand,Manawatu-Wanganui,bdsm_general,53,1
NZ,New Zealand,Manawatu-Wanganui,spanking,13,1
NZ,New Zealand,Manawatu-Wanganui,adult_corporal_punishment,NA,1
NZ,New Zealand,Manawatu-Wanganui,otk,NA,1
NZ,New Zealand,Marlborough,spanking,100,1
NZ,New Zealand,Marlborough,bdsm_general,77,1
NZ,New Zealand,Marlborough,adult_corporal_punishment,NA,1
NZ,New Zealand,Marlborough,impact_play,NA,1
NZ,New Zealand,Marlborough,otk,NA,1
NZ,New Zealand,Nelson,bdsm_general,69,1
NZ,New Zealand,Nelson,spanking,31,1
NZ,New Zealand,Nelson,adult_corporal_punishment,NA,1
NZ,New Zealand,Nelson,impact_play,NA,1
NZ,New Zealand,Nelson,otk,NA,1
NZ,New Zealand,Northland,bdsm_general,47,1
NZ,New Zealand,Northland,spanking,22,1
NZ,New Zealand,Northland,adult_corporal_punishment,NA,1
NZ,New Zealand,Northland,impact_play,NA,1
NZ,New Zealand,Northland,otk,NA,1
NZ,New Zealand,Otago,impact_play,85,1
NZ,New Zealand,Otago,bdsm_general,57,1
NZ,New Zealand,Otago,spanking,22,1
NZ,New Zealand,Otago,adult_corporal_punishment,NA,1
NZ,New Zealand,Otago,otk,NA,1
NZ,New Zealand,Southland,otk,100,1
NZ,New Zealand,Southland,bdsm_general,44,1
NZ,New Zealand,Southland,spanking,27,1
NZ,New Zealand,Southland,adult_corporal_punishment,NA,1
NZ,New Zealand,Southland,impact_play,NA,1
NZ,New Zealand,Taranaki,bdsm_general,48,1
