scrape_date,source,country_code,country_name,region,query_term,timeframe,interest_score,interest_score_raw,hits,keyword,geo,gprop
2026-04-11,google_trends_region,AU,Australia,South Australia,spanking,today 12-m,100,100,100,spanking,AU,web
2026-04-11,google_trends_region,AU,Australia,Queensland,spanking,today 12-m,78,78,78,spanking,AU,web
2026-04-11,google_trends_region,AU,Australia,Western Australia,spanking,today 12-m,77,77,77,spanking,AU,web
2026-04-11,google_trends_region,AU,Australia,Victoria,spanking,today 12-m,77,77,77,spanking,AU,web
2026-04-11,google_trends_region,AU,Australia,New South Wales,spanking,today 12-m,75,75,75,spanking,AU,web
2026-04-11,google_trends_region,AU,Australia,Australian Capital Territory,spanking,today 12-m,65,65,65,spanking,AU,web
2026-04-11,google_trends_region,AU,Australia,Northern Territory,spanking,today 12-m,61,61,61,spanking,AU,web
2026-04-11,google_trends_region,AU,Australia,Tasmania,spanking,today 12-m,56,56,56,spanking,AU,web
2026-04-11,google_trends_region,AU,Australia,Northern Territory,impact play,today 12-m,100,100,100,impact play,AU,web
2026-04-11,google_trends_region,AU,Australia,New South Wales,impact play,today 12-m,92,92,92,impact play,AU,web
2026-04-11,google_trends_region,AU,Australia,South Australia,impact play,today 12-m,85,85,85,impact play,AU,web
2026-04-11,google_trends_region,AU,Australia,Victoria,impact play,today 12-m,83,83,83,impact play,AU,web
2026-04-11,google_trends_region,AU,Australia,Queensland,impact play,today 12-m,79,79,79,impact play,AU,web
2026-04-11,google_trends_region,AU,Australia,Western Australia,impact play,today 12-m,74,74,74,impact play,AU,web
2026-04-11,google_trends_region,AU,Australia,Australian Capital Territory,impact play,today 12-m,74,74,74,impact play,AU,web
2026-04-11,google_trends_region,AU,Australia,Tasmania,impact play,today 12-m,58,58,58,impact play,AU,web
2026-04-11,google_trends_region,AU,Australia,Queensland,bdsm,today 12-m,100,100,100,bdsm,AU,web
2026-04-11,google_trends_region,AU,Australia,Tasmania,bdsm,today 12-m,97,97,97,bdsm,AU,web
2026-04-11,google_trends_region,AU,Australia,Western Australia,bdsm,today 12-m,88,88,88,bdsm,AU,web
2026-04-11,google_trends_region,AU,Australia,Victoria,bdsm,today 12-m,84,84,84,bdsm,AU,web
2026-04-11,google_trends_region,AU,Australia,New South Wales,bdsm,today 12-m,83,83,83,bdsm,AU,web
2026-04-11,google_trends_region,AU,Australia,South Australia,bdsm,today 12-m,82,82,82,bdsm,AU,web
2026-04-11,google_trends_region,AU,Australia,Northern Territory,bdsm,today 12-m,81,81,81,bdsm,AU,web
2026-04-11,google_trends_region,AU,Australia,Australian Capital Territory,bdsm,today 12-m,76,76,76,bdsm,AU,web
2026-04-11,google_trends_region,AU,Australia,Queensland,domestic discipline,today 12-m,100,100,100,domestic discipline,AU,web
2026-04-11,google_trends_region,AU,Australia,New South Wales,domestic discipline,today 12-m,33,33,33,domestic discipline,AU,web
2026-04-11,google_trends_region,AU,Australia,Victoria,domestic discipline,today 12-m,16,16,16,domestic discipline,AU,web
2026-04-11,google_trends_region,AU,Australia,Australian Capital Territory,domestic discipline,today 12-m,NA,NA,NA,domestic discipline,AU,web
2026-04-11,google_trends_region,AU,Australia,Northern Territory,domestic discipline,today 12-m,NA,NA,NA,domestic discipline,AU,web
2026-04-11,google_trends_region,AU,Australia,South Australia,domestic discipline,today 12-m,NA,NA,NA,domestic discipline,AU,web
2026-04-11,google_trends_region,AU,Australia,Tasmania,domestic discipline,today 12-m,NA,NA,NA,domestic discipline,AU,web
2026-04-11,google_trends_region,AU,Australia,Western Australia,domestic discipline,today 12-m,NA,NA,NA,domestic discipline,AU,web
2026-04-11,google_trends_region,AU,Australia,South Australia,otk,today 12-m,100,100,100,otk,AU,web
2026-04-11,google_trends_region,AU,Australia,Victoria,otk,today 12-m,97,97,97,otk,AU,web
2026-04-11,google_trends_region,AU,Australia,New South Wales,otk,today 12-m,88,88,88,otk,AU,web
2026-04-11,google_trends_region,AU,Australia,Western Australia,otk,today 12-m,77,77,77,otk,AU,web
2026-04-11,google_trends_region,AU,Australia,Tasmania,otk,today 12-m,77,77,77,otk,AU,web
2026-04-11,google_trends_region,AU,Australia,Queensland,otk,today 12-m,77,77,77,otk,AU,web
2026-04-11,google_trends_region,AU,Australia,Australian Capital Territory,otk,today 12-m,63,63,63,otk,AU,web
2026-04-11,google_trends_region,AU,Australia,Northern Territory,otk,today 12-m,NA,NA,NA,otk,AU,web
2026-04-11,google_trends_region,GB,United Kingdom,Wales,spanking,today 12-m,100,100,100,spanking,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Scotland,spanking,today 12-m,99,99,99,spanking,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,England,spanking,today 12-m,93,93,93,spanking,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Northern Ireland,spanking,today 12-m,79,79,79,spanking,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,England,spanko,today 12-m,0.5,<1,<1,spanko,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Northern Ireland,spanko,today 12-m,NA,NA,NA,spanko,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Scotland,spanko,today 12-m,NA,NA,NA,spanko,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Wales,spanko,today 12-m,NA,NA,NA,spanko,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,England,impact play,today 12-m,100,100,100,impact play,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Wales,impact play,today 12-m,98,98,98,impact play,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Scotland,impact play,today 12-m,90,90,90,impact play,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Northern Ireland,impact play,today 12-m,80,80,80,impact play,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,England,bdsm,today 12-m,100,100,100,bdsm,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Wales,bdsm,today 12-m,97,97,97,bdsm,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Scotland,bdsm,today 12-m,86,86,86,bdsm,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Northern Ireland,bdsm,today 12-m,79,79,79,bdsm,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Scotland,domestic discipline,today 12-m,100,100,100,domestic discipline,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,England,domestic discipline,today 12-m,50,50,50,domestic discipline,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Northern Ireland,domestic discipline,today 12-m,NA,NA,NA,domestic discipline,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Wales,domestic discipline,today 12-m,NA,NA,NA,domestic discipline,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Scotland,otk,today 12-m,100,100,100,otk,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Northern Ireland,otk,today 12-m,85,85,85,otk,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Wales,otk,today 12-m,83,83,83,otk,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,England,otk,today 12-m,69,69,69,otk,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Scotland,adult corporal punishment,today 12-m,100,100,100,adult corporal punishment,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,England,adult corporal punishment,today 12-m,NA,NA,NA,adult corporal punishment,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Northern Ireland,adult corporal punishment,today 12-m,NA,NA,NA,adult corporal punishment,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Wales,adult corporal punishment,today 12-m,NA,NA,NA,adult corporal punishment,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,England,spanking only,today 12-m,100,100,100,spanking only,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Northern Ireland,spanking only,today 12-m,NA,NA,NA,spanking only,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Scotland,spanking only,today 12-m,NA,NA,NA,spanking only,GB,web
2026-04-11,google_trends_region,GB,United Kingdom,Wales,spanking only,today 12-m,NA,NA,NA,spanking only,GB,web
2026-04-11,google_trends_region,US,United States,Wyoming,spanking,today 12-m,100,100,100,spanking,US,web
2026-04-11,google_trends_region,US,United States,Alaska,spanking,today 12-m,99,99,99,spanking,US,web
2026-04-11,google_trends_region,US,United States,West Virginia,spanking,today 12-m,95,95,95,spanking,US,web
2026-04-11,google_trends_region,US,United States,Pennsylvania,spanking,today 12-m,95,95,95,spanking,US,web
2026-04-11,google_trends_region,US,United States,Rhode Island,spanking,today 12-m,93,93,93,spanking,US,web
2026-04-11,google_trends_region,US,United States,Ohio,spanking,today 12-m,91,91,91,spanking,US,web
2026-04-11,google_trends_region,US,United States,Michigan,spanking,today 12-m,88,88,88,spanking,US,web
2026-04-11,google_trends_region,US,United States,Kentucky,spanking,today 12-m,88,88,88,spanking,US,web
2026-04-11,google_trends_region,US,United States,Maine,spanking,today 12-m,86,86,86,spanking,US,web
2026-04-11,google_trends_region,US,United States,Arkansas,spanking,today 12-m,85,85,85,spanking,US,web
2026-04-11,google_trends_region,US,United States,Delaware,spanking,today 12-m,83,83,83,spanking,US,web
2026-04-11,google_trends_region,US,United States,Oklahoma,spanking,today 12-m,82,82,82,spanking,US,web
2026-04-11,google_trends_region,US,United States,New Hampshire,spanking,today 12-m,81,81,81,spanking,US,web
2026-04-11,google_trends_region,US,United States,Missouri,spanking,today 12-m,80,80,80,spanking,US,web
2026-04-11,google_trends_region,US,United States,Vermont,spanking,today 12-m,79,79,79,spanking,US,web
2026-04-11,google_trends_region,US,United States,Alabama,spanking,today 12-m,78,78,78,spanking,US,web
2026-04-11,google_trends_region,US,United States,Kansas,spanking,today 12-m,78,78,78,spanking,US,web
2026-04-11,google_trends_region,US,United States,Indiana,spanking,today 12-m,78,78,78,spanking,US,web
2026-04-11,google_trends_region,US,United States,North Carolina,spanking,today 12-m,74,74,74,spanking,US,web
2026-04-11,google_trends_region,US,United States,Illinois,spanking,today 12-m,73,73,73,spanking,US,web
2026-04-11,google_trends_region,US,United States,Wisconsin,spanking,today 12-m,73,73,73,spanking,US,web
2026-04-11,google_trends_region,US,United States,Montana,spanking,today 12-m,73,73,73,spanking,US,web
2026-04-11,google_trends_region,US,United States,Tennessee,spanking,today 12-m,71,71,71,spanking,US,web
2026-04-11,google_trends_region,US,United States,Connecticut,spanking,today 12-m,71,71,71,spanking,US,web
2026-04-11,google_trends_region,US,United States,Iowa,spanking,today 12-m,70,70,70,spanking,US,web
2026-04-11,google_trends_region,US,United States,Oregon,spanking,today 12-m,70,70,70,spanking,US,web
2026-04-11,google_trends_region,US,United States,Nebraska,spanking,today 12-m,70,70,70,spanking,US,web
2026-04-11,google_trends_region,US,United States,Washington,spanking,today 12-m,70,70,70,spanking,US,web
2026-04-11,google_trends_region,US,United States,Massachusetts,spanking,today 12-m,67,67,67,spanking,US,web
2026-04-11,google_trends_region,US,United States,Nevada,spanking,today 12-m,67,67,67,spanking,US,web
2026-04-11,google_trends_region,US,United States,Virginia,spanking,today 12-m,66,66,66,spanking,US,web
2026-04-11,google_trends_region,US,United States,Mississippi,spanking,today 12-m,66,66,66,spanking,US,web
2026-04-11,google_trends_region,US,United States,Idaho,spanking,today 12-m,65,65,65,spanking,US,web
2026-04-11,google_trends_region,US,United States,New York,spanking,today 12-m,65,65,65,spanking,US,web
2026-04-11,google_trends_region,US,United States,Minnesota,spanking,today 12-m,65,65,65,spanking,US,web
2026-04-11,google_trends_region,US,United States,Georgia,spanking,today 12-m,64,64,64,spanking,US,web
2026-04-11,google_trends_region,US,United States,South Carolina,spanking,today 12-m,64,64,64,spanking,US,web
2026-04-11,google_trends_region,US,United States,Florida,spanking,today 12-m,64,64,64,spanking,US,web
2026-04-11,google_trends_region,US,United States,Maryland,spanking,today 12-m,63,63,63,spanking,US,web
2026-04-11,google_trends_region,US,United States,New Mexico,spanking,today 12-m,62,62,62,spanking,US,web
2026-04-11,google_trends_region,US,United States,North Dakota,spanking,today 12-m,61,61,61,spanking,US,web
2026-04-11,google_trends_region,US,United States,New Jersey,spanking,today 12-m,61,61,61,spanking,US,web
2026-04-11,google_trends_region,US,United States,District of Columbia,spanking,today 12-m,59,59,59,spanking,US,web
2026-04-11,google_trends_region,US,United States,Arizona,spanking,today 12-m,58,58,58,spanking,US,web
2026-04-11,google_trends_region,US,United States,California,spanking,today 12-m,57,57,57,spanking,US,web
2026-04-11,google_trends_region,US,United States,South Dakota,spanking,today 12-m,56,56,56,spanking,US,web
2026-04-11,google_trends_region,US,United States,Texas,spanking,today 12-m,56,56,56,spanking,US,web
2026-04-11,google_trends_region,US,United States,Louisiana,spanking,today 12-m,56,56,56,spanking,US,web
2026-04-11,google_trends_region,US,United States,Utah,spanking,today 12-m,55,55,55,spanking,US,web
2026-04-11,google_trends_region,US,United States,Colorado,spanking,today 12-m,55,55,55,spanking,US,web
2026-04-11,google_trends_region,US,United States,Hawaii,spanking,today 12-m,53,53,53,spanking,US,web
2026-04-11,google_trends_region,US,United States,Massachusetts,spanko,today 12-m,100,100,100,spanko,US,web
2026-04-11,google_trends_region,US,United States,Illinois,spanko,today 12-m,0.5,<1,<1,spanko,US,web
2026-04-11,google_trends_region,US,United States,New York,spanko,today 12-m,0.5,<1,<1,spanko,US,web
2026-04-11,google_trends_region,US,United States,California,spanko,today 12-m,0.5,<1,<1,spanko,US,web
2026-04-11,google_trends_region,US,United States,Pennsylvania,spanko,today 12-m,0.5,<1,<1,spanko,US,web
2026-04-11,google_trends_region,US,United States,Alaska,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Wyoming,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,District of Columbia,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Delaware,spanko,today 12-m,NA,NA,NA,spanko,US,web
